지금, 만나러 갑니다
10,그이상의 감동 러브스토리
10,그이상의 감동 러브스토리
10,장마철 숲 속에서.해바라기꽃 사이에서 당신을 기다린다. 어떻게 이런 축복이 나에게 왔을까..
10,진짜 한국판을 먼저본게 아쉬울정도.. 일본판을 먼저봤으면 소름 그대로 느낄수있을텐데
10,영상도 아름답고 슬픔도 아름답네요..ㅜㅜ
10,10번도 넘게 봤어요이 영화를 볼때 만큼은 일본에대한 악 감정이 없어지는 영화 입니다정말 가슴이 시려지는 영화 입니다강추
10,내인생에 타이타닉 다음의 멜로영화.
10,언제나 봐도 수작인 작품
8,일본식 멜로영화의 정수
10,17년전 15살때 우연히 보게된 영화네요그때도 17년이 흐른 지금도 참 가슴이 아린 영화입니다스토리 연기 배경 전부 너무 좋았던인생영화입니다
10,여주인공인 다케우치 유코..우울증으로 생 마감하시고..생각나서 다시 봤네요..너무 보고싶습니다 누님. 17살때 한창 감수성 예민한 시기에 보고나서 여운이 크게 남았었습니다. 후에 재개봉했을때도 보러갔었네요.. 부디 그곳에서 편안하시길 기원합니다
10,당신은 이 영화로 영원히 기억될것입니다 매우 고통스럽고 힘든시간이 있었을지라도 당신으로 인해 많은 사람들이 감동을 받았습니다 영면하세요- RIP 다케우치 유코 -
10,
10,펑펑 울면서 봤어요..
9,현실을 초월하는 운명의 사랑. 감동적인 영화다.
10,시대상황..OST.. 분위기.. 연기자들... 모든조건이 완벽했으니 최고였음ㅎㅎ 이 시대에 최고의 명작이 탄생했는데 가히 명작을 다음시대에 그 정서를 따라서 만들기에는 부족함이 있는거 같음.. 원작이 최고입니다  ~~
10,매년 장마 기간 때 생각나는 영화
10,유코배우님 사망하시고 나니 영화가 현실이 되어버린거 같아 마음이 안좋네요
2,나도 언젠간 이런 사랑을 하고 싶다.
10,웬만하면 인생영화로 안 꼽는데 보자마자 꼽았습니다. 특히 OST가 너무 좋았습니다. 살면서 한번쯤은 보면 좋을 영화 같습니다 :)
10,
10,나도 모르게 눈물과 콧물이 주르르 흐르고 가슴 애리게 아프다 여운이 남는 영화 이 영화를 알기 전에는 이 ost를 들으면 가슴이 먹먹했는데 이제는 눈물까지 흘릴거같다 너무 잘 만든 영화다
10,고맙습니다 너무 좋은 영화 잘봤어요.. 매번 볼때마다 눈물콧물 질질짜지네요.. 뚜시  ㅠㅠ 겁나 최애영화에유ㅠ유ㅠㅠ
10,극중 남주랑 결혼안했으면 아직도 잘살고 있었을까? 유코상 다시한번 명복을 빕니다.
4,실제 주인공들 때문에 집중이 안됨..남주는 비열해보여서 역활이 너믄 안어울리고 여주도 너무해  실제 자식들이 자라서 이 영화를 보면 얼마나 슬플까.. 그리고 내용도 너무 동화같음
10,일본만의 가진 영화 감성을 너무나도 잘 실어낸 작품이라고 생각합니다. 보는 이로하여금 사랑이라는 단어가 이 영화를 생각나게끔 하지않을까라고 생각듭니다.인생에 있어 몇 안되는 명작이지 않을까하고 조심스레 적어봅니다ㅎㅎ ^~^
9,여름날 후더운 판타지 러브레터
10,인생 최고의 띵작ㄷㄷㄷ
10,내 인생 최고의 영화 ost만 들어도 울컥합니다
10,뭐 하나 빠진게 없는 영화.
10,인생의 영화입니다. 세번보세요 꼭이요... 첫번째 두번째 세번째 대사 하나하나가 다 다른 느낌으로 옵니다
10,존나 울었네와이프한테 잘해줘야지
6,그냥 생각했던것보다 연기와 스토리가 단순했네요
10,이 영화가 개봉한지 어느덧 10년이라는 시간을 훌쩍 넘어서버렸다.가끔식 생각나던 음악.그런데 여배우의 유작이 되버린... 어제서야 알았다...삼가 고인의 명복을 빕니다.
9,매년 장마철마다 한번씩 보게 되는 영화
10,
10,새벽에 완전 재밌어요 감동입니다
10,여름장마 오면은 이영화 생각날거 같다
9,정말 감동적입니다 ㅠㅠ
10,오래전에 봤었는데...ebs에서 좀전에 다시 봤네요.  잔잔하면서도 좋네요.
10,말이 필요없는 최고의 명작!
7,장마철이 되면 귓가를 촉촉이 적시는 멜로디
10,재미있네요……..넷플릭스에서 추천합니다.
8,조금 지루한 감은 있지만 나름 볼만한 수작 멜로 영화. 다케우치 유코 얼굴만으로도 볼 가치가 있는 영화.
10,장마가 오면 항상 생각나는 영화.. ost를 들으면 눈물부터 흐르려고 하네요. 다케우치 유코 부디 그곳에선 평안하시길 바래요. 너무 보고싶네요 ㅠ
10,진짜 몇번을 봐도 이만한 감동을 선사해줄 영화가 있을까... 봐도봐도 눈물이 난다ㅠ
10,얼마 전 가을이 끝나고 겨울을 알리는 듯한 비가 내려서 다시 보러 왔어요. 영화라는 게 이렇게 소중하다는 것을 다시금 느끼게 되네요. 이제는 볼 수 없는 유코 씨를 이렇게나마 볼 수 있으니까요. 제 고등학생 시절 마음에 자리해 주셔서 감사합니다. 영화처럼 비가 오는 날이면 한 번씩 놀러 와주세요.
10,키스를 해도 되냐는 질문에첫키스 생각나서 만점
10,몇번을 봐도 감동이다. 나도 이런 사랑을 하고싶다는 생각이 드는 영화
10,원래 원작을 본상태로 한국에 리메이크작이 나와서 봤습니다 리메이크작이 엉엉 이라면원작은 통곡하면서 봤네요
10,일본 애니메이션 말고는 본 적이 없어 좀 거부감이 있었는데 보고 나니 인생 영화가 되어 있었다ㅠㅠ
10,
10,나의 20대에 이런 명작이 있었다는걸 40대에 알게 되었네
10,매년생각나는영화그립습니다
9,고마워요 당신영화가 있어서 참 따뜻했어요
10,모든게 아름다웠습니다ㅜㅜ
10,너무 감동적이다유ㅠ 마지막 의미는 진짜 소름돋았다 이건 10점 줄수밖에 없다유ㅠㅠㅜ
9,한 번 봐야지 하고 미루었던 영화. 이제야 보는데 상당히 감동적이고 재미있음. 슬프기도 하지만.. 시골 풍경과 아이와 엄마, 아빠의 모습이 아름다움. 그리고 짝사랑으로 시작된 줄로만 알았던 이야기의 마지막 반전이 흥미로움.
10,진짜 슬프고 감동적인 영화..
10,미오역의 타케우치 유코의 명복을 빕니다! (2020년 9월 27일 향년 40세)
10,아 다케우치 유코상, 영화처럼 비가 오는 날 다시 찾아 와 주실 수 있죠?
10,내 인생 최고의 영화
10,왠지 비의 날, 진짜로 유코짱이 다시 올거 같네요. 천사가 사람으로 환생해서 잠시 우리 곁에 머물다, 다시 하늘로 올라갔네요. 꿈에서라도 만나 보고싶네요.
10,영화가 추억이 될 수도 있구나. 싶다. 유지도 많이 컸겠군. 일본영화 중 최고로 꼽는다.
10,
10,내 인생 최고의 영화 유코님 편히 쉬세요
10,너무 감동쿠 입니당. 15년이 지나도 좋은영화입니다.
10,여름이 끝나기 전에 봐서 다행이네요.
10,와 진짜 명작이다.. 펑펑 울었음....ㅠㅠㅠ 끝부분은 소름의 연속
10,몇번을 봤고 내용도 다 아는 내용인데 볼때마다왜 눈물이 나냐
10,로맨스 영화의 정석....
10,너무너무너무너무좋음그냥좋음짱이야ㅠ
10,진짜 후유증 도랏다..
10,비가 와도 행복할수 있는 이유를 하나 더 찾은것 같다
10,유코 그곳에선 편히 쉬세요
10,꼭 봐야되는 영화중에 하나
10,여름 정마철이 다가오면 가장 먼저 떠오르는 내 인생영화
8,계절감까지도 너무 좋은 영화
10,감동적이에요.... 미오가 넘 예뻐요
10,일본 감성의 끝, 최고의 일본 영화
10,채널j에서 특선영화로 봤습니다마음이 따뜻해지는 영화인 것 같습니다그런데 웹서핑을 하다가 여주인 다케우치 유코랑 남주 나카무라 시도가 결혼 후 이혼했다는 사실과 다케우치 유코가 극단적인 선택했다는 것을 알게되어 마음이 아프네요
9,나의 행복은 항상 네 곁에 있었다
1,?최악의 영화. 세상의 중심에서 사랑을 외치다 발가락 때에도 못미침. 발연기 남주의 몰입감 방해. 개연성 없는 장면들로 넘쳐나고 억지 감동 짜내는 장면들.  특히 여고시절 여주 역할 배우가 일기장 독백할 때에는 너무 못생겨서 패고 싶더라.
10,연출 연기 스토리 영상미 OST 모두 의미가 잘 전달되어 마음이 찢어지도록 아팠다. 특히 OST가 상황에 맞게 잘 나와서 더욱 더 감동감이 증폭되었다. 아마 유코도 생전에 이 영화를 많이 봤을거라 생각한다.
10,어렸을적에 처음봤었어요. EBS에서 보여주더라고요. 중간부터 봤는데도 너무 슬프고 재미있었던 기억이 있습니다. 그래서인지 이제는 줄거리에 '비가 오면 다시 오겠다.'는 내용만 봐도 눈물이 나고 가슴이 벅차오르네요.
10,넷플릭스로 보았습니다. 진짜 영상미라던지 ost 라던지 정말 완벽합니다. 스토리마저 좋구요...진짜 감성은 영화중에 모든 영화중에 탑이라고 봐도 무방할정도 입니다....로맨스도 있지만 오히려 저는 아들의 관점에서 봐서 엄마가 생각나더군요...정말 대단한 영화입니다...
10,영화 보면서 눈물 한번도 안흘렸는데 이거 보면서 질질 흘림
10,
10,일본영화를 보고 마음이 깨끗해 지는것 같습니다
10,우주최고의 영화 반박못한다
10,잔잔하게 흐른다고 생각했는데 안개비처럼 감동이 스며든다.후반부 여주의독백이 나오면 그감동이 배 가된다.  아무리 엇갈리고 몸이아프고 사고가나도 만나야 할 인연은 반드시 만난다. 죽을것을 알고도 사랑때문에 똑같은 미래를 택한다.
10,진짜 정말로 너무 재밌고 감동적이다
8,일본 최고의 멜로영화로 평가되지만 개인적으로 감동이 적었던 나, 내가 멜로 감정이 메마른건지 15년이 넘은 명작이라 이후 다른 드라마나 영화에서 카피한 장면들이 많아서인지..
10,다시봐도 감동이네요…
8,뒤죽박죽 일본sf영화
5,여자가 두집 살림차리고 노는 불륜녀라고 생각했는데 여자가 정신 병자인 영화.
10,일본 영화로는 제 인생 영화라 배우들이 인상깊었습니다... 유코님 하늘에선 행복하세요
10,여름향기의 손예진 누나라도..눈의꽃에 소지섭이였어도...이 영화는 건들지 말았어야 했다...유코 누나ㅠㅠ
10,인생 최고의 영화 대박 스포 주인공이 꿈꾸는 내용
9,이 영화를 만나러 갈 땐 다쿠미의 남편이자 유우지의 엄마인 미오를 잊지 않습니다. 다케우치 편히 쉬세요.
10,모든게 완벽 일본 영화 중에서 단연 최고
10,그자리에서 보고 또보고?끝날때까지 가슴속 깊이에서 나오는 소중한추억들과 나도  모르게흐르던 눈물과 여운 잊을수가없네요비오는계절이 시작되면 꼭 세번네번 다시봐요?
10,
10,멜로 명작. 더 이상 말이 필요 없다.
10,마음이 따뜻해진다 너무 좋다
10,사랑한다는게 어떤건지 알 수 있는 로맨스
10,인생 최고의 영화
10,2008.02.22 01:17왠지라는 내용으로 1점을 준 내가 보였다.미친놈인가?  해킹을 당했었나?이런 생각을 하며 허겁지겁 10점으로 바꿨다.
10,말이 필요없다 무조건 보세요 후회 안하실겁니다
10,너무너무 슬프다 해바라기씬은 평생 잊지 못할듯,,
10,이제는 별이 된 다케우치 유코를 추모하며...
