안녕, 형아
10,
10,어릴 때 보고 오늘 다시 봤는데 다시 봐도 슬프네.. 욱이도 살았으면 좋았을걸..
10,너무 슬프다.... 형한테 맨날 말썽만 피웠는데이번에 이 영화 접하고 형한테 잘하자 라눈 생각둠형 사랑해!!!♥
10,많이 울고 웃었습니다. ㅠㅠㅠ 욱아 가지마
10,초1땐가 태어나서 처음으로 본 영화였는데 최근에 다시봤을땐 그때와는 또다른 감동과 슬픔에 박수를 칠수밖에 없는영화 그당시에 같이본 엄마는 어떤생각을 하시면서 보셨을까 하는 많은 생각을 하게 되는 영화
10,옛날에 보고 다시본건데도 또 울음
10,다시봐도 슬프네요유년시절 아프던 생각도나고
10,이 영화가 실화라는게 너무 마음이 아프네요 정말 좋은영화 감동실화입니다ㅠㅜ
1,야한장면잇음
8,아픈 아이들이 많지않았으면 좋겠다.
10,이거랑 마음이, 호로비츠를 위하여 ... 97년생 국룰 영화
10,엄청 많이 울었어요...ㅠㅠ 배우들 연기도 완전 최고 ㅠㅠ
10,초1때 학교 도서관에서 학교 가는 토요일에  틀어줘서 보게 된 영화. 내 인생에서 처음으로 본 슬픈 영화.
10,너무 감동적인 영화 에요!
10,어린아이의 순수한 시점으로 본 뇌종양 극복 과정이 감동적이었음
10,욱이와 한별이와 한이의 이야기가 너무 아름다웠다
10,
10,
9,박지빈 정말 당돌하고 앙칼지다 춤도 잘추고 연기도 잘하고 끼가 많은 애기였구나 중간에 타잔아저씨를 타고 날아드는 설정이라든가, 물약을 먹여주고 욱이가 눈을 뜨는 판타지스런 설정은 사실 한이의 상상이 아니었을까 두 형의 안녕을 너무나도 간절히 원했던 한이의 바람이 아니었을지
6,박지민 아역인데 연기 잘하네
6,나 어렸을때 본거
10,
10,
10,연기 넘 잘해요 ?아이들이 ?내용도 넘 좋았어요 ?!
5,내가 정신병 강박장애에 걸렸는 년도에 개봉한영화 벌써 15년이 흘럿네 아직 완치하지도못하고 극중 주인공 형도 결국엔 하늘나라로.. 그당시엔 참슬펏던영화 완치하고싶다
10,인생영화꼭 보세요.
10,정말 재미있고 감동적이고 게다가ost는정말좋은노래였고외우기도쉽고^^^♡♡♡♡
10,초증학생 울 아이한테 보여줄라고 틀었는데 또보고또보내요 ㅎ서로 욱이가 젤좋다고 합니다 장한별 욱이 연기를 어찌저렇게 잘할수가...저도 옥동자따라하는 욱이가 계속 생각나요 귀요미..ㅎㅎ
10,저의 마음을..눈가를..촉촉히 울렸네요..
10,아역들의 감정연기 1000점
7,과연 그 물을 마셨었더라면 그 아이는 일어날 수 있었을까.
10,다시봐도 별다섯개정말이지 강추하는 영화
10,어릴적 처음 봤던 새드 영화. 재미없는 영화는 바로 잊어버리는데 아직까지도 기억에 생생히 남는거보면 참 여운이 깊은 영화였다.
6,생생하게 그려낸 아이의 환희, 슬픔, 성장.
10,어릴때 보고 왜 마법의 물을 안먹여서 죽게 나뒀는지 이해를 못했음. 지금보니 눈물만 난다 마지막에 자연인 아저씨 무덤이랑 같이 나오는 것도  ㅠ
10,욱이가 안녕 형아하고 눈감을때 정말 폭풍오열을 ㅠㅠ
1,비의 필모그래피에 있군요.
10,대박 영화!! 진심 감동적임!!
10,그냥 꼭봐야되는 영화 진짜 강추해요 박지빈님은 너무 잘생기시고 ㅠ
10,아우 ..전부 다 연기 너무 잘해 ...
10,욱아..ㅠㅠㅠ진짜 많이 울었어요 재밌었습니다
10,내가 태어나서 첫번째로 본 영화 촌놈이 였던 나에게 첫번쨰 영화는 초등학교1학년으로 학교에서 보여줬던것이 어렴풋이 기억이 난다. 그때 이 영화를 보고 알웃없는 울림이 맘에 울렸던것이 아직도 생생하다.지금  몸집이 커진 나는 어느새 군입대를 준비한다명작
10,박지빈 너무 귀엽다 ㅠㅠ
9,울 뻔..ㅠㅠ 전 옥동자 부분이 제일 좋았어요. 작은 꼬마가 간절히 얻어낸 기적..
6,순수하려다 모두 하얘지다
10,왜 저는 욱이가 코피를 아무렇지도 않게 닦는 장면이 자꾸 떠오를까요...ㅠㅠ 가서 대신 닦아주고, 안아주고 싶었다는
9,어렸을 때 처음으로 접해본 새드영화. 존나 쳐울면서 새드의 맛을 알게 됐다. 내 몸에 눈물이 이렇게 많았나 알게 된 영화, 내 감수성이 이렇게 풍부한지 알게 한 영화
8,슬픔이.. 희망에게..
10,박지빈형 연기 잘해요bb
10,영화가너무나슬픔입니다
10,귀엽다 그리고 감동이 ㅜㅜ
10,펑펑 울었었음 푸른눈의 백룡 카드...
5,슬프긴 한데 너무 스토리가 억지로 만든 티가 난다.
1,캐스팅이 너무나 아쉽다!!
10,저 초딩때 봤는데 진짜 슬퍼서 울었어요!  요즘에 나왔으면 9점 넘었음!  천만명 넘었을거예요진짜진심
10,지빈이가 너무 귀여워서 채널돌리는 중 고정 연기너무 잘하고 너무슬퍼서 눈물이 주룩주룩 정말 최고다♥
9,아 개봉때한번보고7년뒤에 보니까 색다르네요...맘아프고 생각해보는게많아지는영화
10,욱아 ㅠㅠ 넘 슬프당 ㅠㅠ
10,제가 제일 좋아하는 영화 1위에요 ㅠ 이거보고 감동적이여서 울었고 박지빈님 너무 연기잘하셔요
10,형한테 똥물을 부었을 때
10,말로 표현못함 ㄷㄷ 진짜
10,지비니 기엽
10,너무 슬프지만 너무 재미있고, 신나는 영화인 것 같다.나중에 다시한번 봐야겠다.
10,아 박지빈 연기 잘한다 진짜 슬퍼
10,형한테 푸른눈의백룡 줄때가 ...
10,왈 저 책으로 봤는데 짱b
10,정말 감명깊고 여운이 많이 남는 영화였다.이거보면서 펑펑 울게 됬다.
7,귀여운박지빈 ㅋㅋ
10,형이있는 저로써는 정말 수없이 울었었습니다. 그때이후로 형을 존경하게 되더군요
10,감동적이에요.. 정말 최고에요
10,예전에 본 기억이 많이 남네요.. 너무 슬펐었는데ㅠㅠ
9,정말 재밋고 감동적인 영화네요
10,눈물이..
10,슬프다가 웃기고 좋아요!
10,아이들영화는 언제나 순수하고 감동적이다~ 눈물도웃음도공존한다~
10,말이 필요없는
10,이 영화 도서관에서 보고 울었는데..또 보고싶어요~감동적이고 재미있는 영화같음
10,재밋게잘봤읍
9,이거 옛날에 보고 울엇는데 ㅠㅠ 또 보고프다요
10,정말 감동적이고 재미있고ㅠㅠㅠㅠㅠ
10,진짜 감동적이네요^^ 만화책으로도 봤는데 정말 재미있어용~!!
10,많은 생각을 하게 되는...
10,너무감동적이다...ㅠㅠ
10,오랜만에 이영화를 다시보는데  완전 울컥이네요 ㅠㅠㅜ
1,전형적인 한국형 산파극 진짜 재미 없다. 포스터 서클렌즈 끼고 사진 찍은거 봐라..
10,진심 지금 다시 찾았는데.. 아직도 생생하네요 ;- ;
10,이영화를본게 벌써몇년이지났는데도 생각하면 울컥하네요ㅠㅠ
10,정말어렷을때는 그냥 아무느낌없엇는데...이번에보니깐진짜 폭풍눈물 ㅠㅠ
10,어렸을때 보고 정말 울었는데ㅜㅜ 지금도 울컥하네ㅜㅜㅜ
10,어렸을 때 이거 보고 그렇게 울었죠/친구가 너 왜 우냐 할까봐 막 참았는데도 결국ㅠ
10,감동의도가니탕ㅠㅠㅠ
10,이거진짜너무눈물나고ㅠㅠ감동적이에요빨리보시는게좋아요전체이용가라서가족이랑한께
10,이거 마지막에서 진짜 눈물나고 감동적이에요...안보신분들 보세요..진짜..ㅠㅠ
10,감동
10,저도 어젯 밤에 이비에스에서 처음 봤어요.근데 감동중에 감동이었어요
10,어제 밤에 이비에스에서 또 봤는데...다시봐도 슬픈 영화...ㅠㅠㅠ
10,눈물 펑펑나욤~~~ㅠㅠㅠㅠ
10,제가 이거3번째 보는건데  보면볼수록 진짜  감동스토리 ..........펑펑 울어요
10,너무슬프고 감동이네요...
10,너무 너무 슬퍼요 학교에서 보고 울었어요...............................
10,저는 영화 안보고 책으로만 봤어요 정말 슬프네요ㅠㅠ
10,안녕,형아
10,안슬픈데 잼있음
10,진짜 감동이에요.. 안녕...형아......
10,감동이예요..
10,실화라서더감동 ㅜㅜ
1,킬링타임용도 안되넴
10,슬퍼요 ㅠ
10,감동입니다.... 완전 슬픔 저 두번이나 봐도 슬프네요..
10,100왕 재미있음
10,물을 안 마셔도 나아서 다행임 ㅜㅜ 근데 그 물도 실제로 있는건 아니겠지??
10,감동적임..ㅠ
6,감동의 눈물이 앞을 가려요
10,너무 감동 적이여서 눈물이 왈칵
9,너무 감동적이예요
10,ㅠㅠ슬프고 감동적이야 ㅜㅜ
10,좋아요.
10,슬퍼ㅠㅠ ㅠㅠㅠㅠㅠㅠ울기만햇어요ㅠㅠㅠㅠ
