알로, 슈티
9,오 이거 완전 옛날에 봤다가 갑자기 생각나서 다시 봤는데 우리나라에 늦게 개봉했었구만  ,,,  ㅎㅎ 다른 나라에서 리메이크 한 것도 봤던 걸로 기억하는데 둘 다 재밌음 ㅎㅎ
10,이 영화 진짜 최고다.. 가족, 사랑, 웃음 놓치는 부분이 없네 이걸 왜 계속 미루다가 안 봤는지ㅠㅠ 힐링 제대로 했다 마지막에 비하인드 씬까지 완벽
9,늘 인생은 내가 예측하지 않았던 방향으로 흐른다.  미리 판단할 필요도 실망할 필요도 없다.  매일 매일 마주하는 삶에 충실하면서 살아 가야 겠다.  영화에서 보여주는 진실이 이것들을 말해준다.
9,큰 고구마 없이 편안하게 웃을 수 있는 영화
10,너무너무너무 유쾌하고 즐거운 영화
10,가볍게 볼수 있는 위트있는 영화!
10,
8,사람 사는거 다 똑같다.
10,
9,
8,우울할때 보면 좋은 영화. 작은 웃음의 가치가 있는 영화. 지리상은 북부지만 남부지방 보다도 따뜻한 영화.
10,
10,기대한 것보다 훨씬 좋았던 영화
8,연출도 지루하지않고 북유럽 감성도 있고 프랑스 영화 특유의 지루함이 없었음
10,프랑스영화 특유의 잔잔함 속의 조크뻔한 스토리였지만 감동도 있는마지막 장면에서는 나도 눈물이 ㅠ우울했는데 보고 웃음나고 잠깐의 행복을 만끽심심하고 우울할 때 가볍게 보기좋은 영화 굿
10,이영화에 10점만점 줄줄이야우울증 치료제 같은 영화
10,
10,가슴 따뜻해지는 영화. 슈티미!
10,좋아하는 배우 대니 분이 나오는 영화라서 봤습니다. 처음엔 지역차별적 요소가 너무 많지 않았나 싶었지만, 결국엔 걱정할 필요가 없었던 것 같습니다. 크리스마스 이브 날 봤는데, 정말 마음이 따뜻해졌어요 :)
10,눈물이 날 정도로 따뜻합니다. 응원하던 장면도 좋았고 종탑에서 나오는 연주도 따뜻했어요.
10,서울에서 일할때는 그곳 주류세계를 떠나면 좌천이고 실패이며 인생 낙오자인줄 알았더니, 시골로 파견을 오고나서 처음에는 울면서 왔는데 이제 떠날때가 되니 영화에서 처럼 아쉬움에 눈물이 날것같다. 주류, 선봉, 승진, 재테크..왜 그토록 애쓰면서 살았을까? 100년도 못사는 인간이 만년짜리 고민과 번뇌로 살아가는구나. 애쓰지말자 그리고 삶이 흘러가는대로 몸을 맡기자. 불필요한것에 자유로울때 진정 행복이 오는 법이다.
10,정말 사랑스러운 영화! 그리고 엄청 웃었네여 강추우!!
10,따뜻하고 기분이 좋아지는 영화입니다.
10,절말 어누너누너누 재밌게 봤음. 아이들이랑 온기족 같이 봤는데 배꼽 빠지게 웃었음.유치하지 않고 익살스러워서 너무 좋았어요~꼭 보세요 강추강추
10,
10,너무재밋게잘좌씁지자
10,외국에서 혼자 적응하며 힘들었을 때가 떠올라 공감 가는 영화.. 따듯하고 재밌고 감동적이고 너무 웃김
10,남자 주인공 표정연기가 너무 웃김. 잔잔한 재미.
10,프랑스 특유의 웃음코드가 저에게는 잘 맞았어요 ㅋㅋ 재미있고 따뜻한 영화!!
10,그냥 보세요... 순수하게 즐거운 영화. 기대없이 봤다가 미친듯이 즐거웠다...
10,따듯하고 포근한 영화. 슈티미!
10,스토리는 뻔한데프랑스 영화가 노잼이라는 편견을 깨줬어요!동네 사람들이 연기하는 모습을 보고 필립을 배려해주는 착하고 순수한 마음에 웃음이 나오면서도 감동이 되서 눈물이 찔끔 나버렸어요 ㅋㅋㅋ
5,
7,마을사람들 넘착하고 사랑스러움ㅋㅋ억지스럽지않고 편함. 기억나는건 조기싸무실 슈티비원더 슈티미 등ㅋ
10,조기 싸무실!! 잉!!!
10,잔잔함과 유쾌함을 동시에 느낄 수 있는 영화라 보는내내 즐거웠어요~따뜻한 선물 받아갑니다. 사랑스러운 영화에요.
10,자극적이지 않은 유기농 건강 코미디순수하게 웃으며 힐링을 받으면서 '편견'이라는 단어에 대해 다시 한번 생각해 볼 수 있는 영화
10,휴머니즘이 느껴지는 따뜻한 영화
