심슨 가족, 더 무비
10,소름끼치게 지금 상황을 예언했다
10,너무 재밌다정신없고
10,역시 심슨은 사회풍자를 잘해
9,심슨을 좋아한다면
8,심슨인데요 심지어 영화인데요
10,아기자기함으로는 심슨을 이길 애니메이션이 없다!
10,
10,심슨식 유머가 아직도 저를 웃기네요 너무 재밌습니다 Ay, caramba!
9,웃음코드가 전세계에 통하는 듯!
8,그저 유쾌하고 유쾌하다. 세상에 유머가 없다면 얼마나 건조하겠는가.
7,뛰어난 작품성이나 각본에 감탄하기보다는, 그저 실컷 웃을 수 있는 애니메이션
10,동의하지 않을 수도 있지만. 내 평생 호머, 댄 카스텔라네타 만큼 연기를 잘하는 성우는 없었다.
10,최고의 미국 애니메이션 심슨가족이 영화로나오다니 에니메이션도 재밌지만 역시 영화는 더재밌다 쿠키영상에 2편은? 이라면서 대사나오던데 나왔음 좋겠다 정말 웃긴 영화임
7,심슨 시리즈를 접해보지 않았어도, 시종일관 유쾌하게 다가온다.
9,바트 벌거벗고 보드타는 씬에서 개쳐웃엇는뎈ㅋㅋㅋㅋ
6,아주 재밌는 풍자만화영화
1,jhkghjfgjhkgh
7,심슨은 미국 애니중 최고지
10,호머심슨 발암...ㅎㅎ
9,초반시작할 때 이딴 만화는 티비로나 봐야지  극장가서 보는 사람은 멍청이라고 할때 진짜 웃겼다 ㅋㅋㅋ
10,극장판을 아직 접하지도 않았고 애니판만 봤는데 확실히 북한, 미국 등 사회적 풍자가 드러나는 스토리니까 공감 가능합니다. 저는 미리 10점 드리고요 극장판은 1시간 반짜리니까 끝까지 보시기 바랍니다.
9,이걸 티비에서 해줄거라고 생각 못 했는데 헠
10,처음 봤는데 병맛 쩌는게 제 스퇄이네요 ㅋㅋ 애니도 정주행해봐야겠습니다
1,hgryezryterzry
10,애니계에 명작 꼭보시길
8,이걸 보고 재미없다 말하는 사람이 있을까.
7,심슨의 웃음 코드는 만국 통통어!
9,심슨은 기대를 저버리지 않는다. 애니메이션계의 No.1
10,재밌어요요소추케회첳드뉫
7,심슨이라는 작품에 기대할만한건 다 나온 영화같다
10,가끔은 웃고 가끔은 울고.. 그냥 저죽을때까지 방영해주세요ㅠ
10,그들의 문화와 유머를 이해못한다면 재미없을수밖에
6,캐릭터부터 주제, 스토리까지 심슨다웠다.
7,재치와 풍자가 녹아 있는 재밌는 작품이다. 전형적이고 유치한 3D 애니메이션들보다는 자기 색깔을 확실하게 지켜가는 이런 2D 애니메이션이 훨씬 좋다.
7,이제야 심슨을 알게 되다니 :)
7,어떤 마약을 하길래 그런 생각을 했어요?
4,사회적 풍자는 이렇게 하는거다
9,심슨은 사랑입니다 너무너무 좋아 ㅜㅜ
10,심슨은 사랑입니다ㅎㅎㅎ
6,오히려 티비 시리즈가 더 재미있다
6,코믹애니고 웃기긴 하지만, 12세 관람가는 정말 아니다.  자극적인 장면이 너무 많아서 등급을 높일 필요가 있다.
5,좀 지루한감이...역시 2-30분짜리 tv시리즈가 더 낫다
10,열정적인 심슨 골수팬으로써 영화가 한편 더 나왔으면 바랍니다.
5,호머 새끼 최악임ㅡㅡ 여태 바보짓 하는 거 애정을 담아 봐왔는데 이번편은 진짜 제발 이혼했으면 좋겠다고 생각할 정도로 최악이었음. 비혼 권장 만화도 아니고ㅋㅋ 마지막에 훈훈해지면 뭐하냐고ㅋㅋㅋ 매기랑 멀쩡한 리사 새 썸남 때문에 그나마 5개 줌ㅡㅡ
10,유일하게 극장에서 본 애니메이션
10,애니메이션 최고의극장판
10,심슨 두단어로 다 설명가능
10,심슨더무비2 만들자 제발..
10,시간 진심 빠른듯.. 이거 나온지 10년 다되감 ㄷㄷ
9,ㅋㅋ 정말 기상천외하도다 ㅋㅋ
10,지금봐도 손색없는 퀄티
8,재미있게 잘 봤습ㄴ디ㅏ.
10,또봐도 정말 재밌고 추억과 감동이 더해져서 더 재밌었다.
4,시리즈에비해 너무별로였던 더무비
9,유쾌하다. 사회 풍자도 좋았다.
6,TV판이 주는 감동보다는 덜 하지만 크고 화라현 작화로 볼 수 있다는 점이 큰 장점이다.
6,1시간 20분짜리 티비 특별판.
10,정말 재미나는 영화!!
8,게으른 호머심슨의 애완 PIG의 SHIT SILO에 의해 위기에 처해진 스프링필드~
6,tv  시리즈 보다는 별로였음..
